Designator,Package,Mid X,Mid Y,Rotation,Side
C15,CP_EIA-7343-43_Kemet-X,124.05,37.2,180,bottom
C26,C_1206_3216Metric,128.66,53.24,180,bottom
C27,C_1206_3216Metric,128.71,43.95,180,bottom
D1,D_SOD-123F,129.95,37.35,270,bottom
D2,D_SOD-123F,126.4,46.65,0,bottom
D3,D_SOD-123F,126.4,50.44,0,bottom
Q1,SOT-23,80.8736,23.4188,270,bottom
R1,R_1206_3216Metric,111.6584,67.7418,180,bottom
R2,R_1206_3216Metric,111.6584,65.4812,180,bottom
R3,R_0603_1608Metric,81.8896,26.6827,90,bottom
R4,R_0603_1608Metric,79.8449,26.6827,270,bottom
R89,R_0603_1608Metric,53.67,43.46,270,bottom
R90,R_0603_1608Metric,53.76418,48.20158,270,bottom
U5,TO-252-2,134.29732,48.60188,0,bottom
