Designator,Footprint,Quantity,Value,LCSC Part #
C15,CP_EIA-7343-43_Kemet-X,1,47u/35V,
"C2, C3, C4",CP_Radial_D8.0mm_P3.50mm,3,680u/20V,
C26,1206,1,22u/16V,
C27,1206,1,2.2u/25V,
"D1, D2, D3",D_SOD-123F,3,SS34F,
D14,0603,1,LED(ylw),
D25,0603,1,LED(grn),
"H1, H2, H3, H4, H5, H6, H8, H9",MountingHole_3.2mm_M3_ISO7380_Pad,8,MountingHole,
J1,1725656,1,Screw_Terminal_01x02,
J21,PinHeader_2x08_P2.54mm_Vertical,1,Conn_01x16,
J3,PinSocket_1x32_P2.54mm_Vertical,1,Slot: Booster,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Slot-a1,
J5,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_Switch,
J6,1725672,1,Screw_Terminal_01x04,
J7,PinSocket_1x16_P2.54mm_Vertical,1,Slot: Master,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,250mA fix,
PS1,TDN52412WI,1,TDN_5-0912WI,
Q1,SOT-23,1,BC847,
"R1, R2",1206,2,100,
R3,0603,1,6.8k,
R4,0603,1,2.7k,
R89,0603,1,22k,
R90,0603,1,10K,
U5,TO-252-2,1,L78M12,
